id   ,   Country   ,     Port Name      ,  UN Code  ,  Vessels in Port  ,  Departures(Last 24 Hours)  ,  Arrivals(Last 24 Hours)  ,  Expected Arrivals  ,   Type   ,    Area Local    ,    Area Global    ,         Also known as       
335  ,  Australia  ,     FREMANTLE      ,   AUFRE   ,        66         ,             58              ,            59             ,         12          ,   Port   ,  West Australia  ,  West Australia   ,             null            
129  ,  Australia  ,       SYDNEY       ,   AUSYD   ,        139        ,             303             ,            306            ,         27          ,   Port   ,    Coral Sea     ,  East Australia   ,             null            
199  ,  Australia  ,      BRISBANE      ,   AUBNE   ,        96         ,             18              ,            24             ,         53          ,   Port   ,    Coral Sea     ,  East Australia   ,             null            
433  ,  Australia  ,     TOWNSVILLE     ,   AUTSV   ,        55         ,             57              ,            62             ,         13          ,   Port   ,    Coral Sea     ,  East Australia   ,             null            
346  ,  Australia  ,    HOPE ISLAND     ,   AUHPL   ,        65         ,             10              ,            11             ,          1          ,   Port   ,    Coral Sea     ,  East Australia   ,             null            
280  ,  Australia  ,     GLADSTONE      ,   AUGLT   ,        76         ,             16              ,            14             ,         51          ,   Port   ,    Coral Sea     ,  East Australia   ,             null            
223  ,  Australia  ,  CORAL SEA MARINA  ,   AUALP   ,        91         ,             44              ,            39             ,          0          ,  Marina  ,  East Australia  ,  East Australia   ,             null            
279  ,  Australia  ,    PORT HEDLAND    ,   AUPHE   ,        76         ,             59              ,            72             ,         95          ,   Port   ,    Timor Sea     ,  West Australia   ,  "[PORT HEADLAND,  HEDLAND]"
459  ,  Australia  ,   SOUTHPORT QLD    ,   AUSHQ   ,        53         ,             22              ,            20             ,          0          ,   Port   ,    Coral Sea     ,  East Australia   ,         "[SOUTHPORT]"       
260  ,  Australia  ,   MANLY HARBOUR    ,   null    ,        82         ,              6              ,            22             ,          0          ,  Marina  ,    Coral Sea     ,  East Australia   ,      "[MANLY BRISBANE]"     
369  ,  Australia  ,     MELBOURNE      ,   AUMEL   ,        62         ,             31              ,            37             ,         32          ,   Port   ,    Tasman Sea    ,  East Australia   ,             null            
396  ,  Australia  ,       CAIRNS       ,   AUCNS   ,        59         ,             25              ,            29             ,          7          ,   Port   ,    Coral Sea     ,  East Australia   ,             null            
177  ,  Australia  ,       DARWIN       ,   AUDRW   ,        109        ,             22              ,            16             ,         25          ,   Port   ,    Timor Sea     ,  North Australia  ,             null            
