id   ,  Country  ,      Port Name      ,  UN Code  ,  Vessels in Port  ,  Departures(Last 24 Hours)  ,  Arrivals(Last 24 Hours)  ,  Expected Arrivals  ,   Type   ,     Area Local     ,      Area Global      ,              Also known as            
123  ,  Germany  ,     BREMERHAVEN     ,   DEBRV   ,        142        ,             80              ,            80             ,         35          ,   Port   ,     Elbe River     ,  UK Coast & Atlantic  ,             "[BREMERHAFEN]"           
449  ,  Germany  ,        LABOE        ,   DELAB   ,        54         ,             34              ,            50             ,          0          ,  Marina  ,     Kiel Canal     ,      Baltic Sea       ,                  null                 
389  ,  Germany  ,     TRAVEMUNDE      ,   DETRV   ,        60         ,             54              ,            54             ,          6          ,   Port   ,     Baltic Sea     ,      Baltic Sea       ,             "[TRAVEMUENDE]"           
196  ,  Germany  ,      DUISBURG       ,   DEDUI   ,        98         ,             63              ,            78             ,         17          ,   Port   ,  "Inland, Europe"  ,   "Inland, Europe"    ,                  null                 
345  ,  Germany  ,  NORD-OSTSEE-KANAL  ,   DECKL   ,        65         ,             84              ,            82             ,          5          ,  Canal   ,     Kiel Canal     ,  UK Coast & Atlantic  ,             "[KIEL CANAL]"            
156  ,  Germany  ,        KIEL         ,   DEKEL   ,        118        ,             60              ,            89             ,         15          ,   Port   ,     Kiel Canal     ,      Baltic Sea       ,                  null                 
330  ,  Germany  ,      NEUSTADT       ,   DENDT   ,        67         ,             20              ,            27             ,          1          ,   Port   ,     Baltic Sea     ,      Baltic Sea       ,                  null                 
32   ,  Germany  ,       HAMBURG       ,   DEHAM   ,        389        ,             69              ,            83             ,         72          ,   Port   ,     Elbe River     ,  UK Coast & Atlantic  ,                "[DEHBU]"              
118  ,  Germany  ,       ROSTOCK       ,   DERSK   ,        145        ,             66              ,            81             ,         17          ,   Port   ,     Baltic Sea     ,      Baltic Sea       ,  "[ROSTOK,  WARNEMUNDE,  WARNEMUENDE]"
188  ,  Germany  ,       BERLIN        ,   DEBER   ,        103        ,             18              ,            20             ,         13          ,   Port   ,  "Inland, Europe"  ,   "Inland, Europe"    ,                  null                 
277  ,  Germany  ,       BREMEN        ,   DEBRE   ,        77         ,             22              ,            24             ,         17          ,   Port   ,     North Sea      ,   "Inland, Europe"    ,                  null                 
257  ,  Germany  ,    HEILIGENHAFEN    ,   DEHHF   ,        82         ,             26              ,            32             ,          2          ,   Port   ,     Baltic Sea     ,      Baltic Sea       ,                  null                 
387  ,  Germany  ,    WILHELMSHAVEN    ,   DEWVN   ,        60         ,             15              ,            22             ,         17          ,   Port   ,     North Sea      ,  UK Coast & Atlantic  ,             "[JADE WESER]"            
183  ,  Germany  ,      CUXHAVEN       ,   DECUX   ,        105        ,             45              ,            55             ,         15          ,   Port   ,     Elbe River     ,  UK Coast & Atlantic  ,           "[CUXHAFEN,  CUX]"          
440  ,  Germany  ,        EMDEN        ,   DEEME   ,        54         ,             29              ,            38             ,         12          ,   Port   ,     North Sea      ,  UK Coast & Atlantic  ,                  null                 
395  ,  Germany  ,       LUBECK        ,   DELBC   ,        59         ,             24              ,            39             ,          9          ,   Port   ,     Baltic Sea     ,      Baltic Sea       ,               "[LUEBECK]"             
