id   ,  Country  ,  Port Name  ,  UN Code  ,  Vessels in Port  ,  Departures(Last 24 Hours)  ,  Arrivals(Last 24 Hours)  ,  Expected Arrivals  ,    Type     ,    Area Local    ,  Area Global  ,        Also known as      
413  ,   Japan   ,  MIZUSHIMA  ,   JPMIZ   ,        57         ,             87              ,            80             ,         93          ,    Port     ,   Japan Coast    ,  Japan Coast  ,            null           
417  ,   Japan   ,  TOKYO BAY  ,   null    ,        57         ,             200             ,            181            ,          3          ,  Anchorage  ,   Japan Coast    ,  Japan Coast  ,            null           
451  ,   Japan   ,    SAKAI    ,   JPSAK   ,        53         ,             100             ,            97             ,         54          ,    Port     ,   Japan Coast    ,  Japan Coast  ,  "[SAKAISENBOKU,  JP SBK]"
462  ,   Japan   ,   KUSHIRO   ,   JPKUH   ,        52         ,             73              ,            57             ,         20          ,    Port     ,   Japan Coast    ,  Japan Coast  ,         "[HIGASHI]"       
286  ,   Japan   ,    OSAKA    ,   JPOSA   ,        74         ,             93              ,            109            ,         63          ,    Port     ,   Japan Coast    ,  Japan Coast  ,          "[SAKAI]"        
247  ,   Japan   ,    KOBE     ,   JPUKB   ,        84         ,             128             ,            119            ,         59          ,    Port     ,   Japan Coast    ,  Japan Coast  ,            null           
479  ,   Japan   ,    NAHA     ,   JPNAH   ,        51         ,             33              ,            42             ,         15          ,    Port     ,  East China Sea  ,  Japan Coast  ,            null           
146  ,   Japan   ,   NAGOYA    ,   JPNGO   ,        122        ,             115             ,            114            ,         105         ,    Port     ,   Japan Coast    ,  Japan Coast  ,            null           
243  ,   Japan   ,    TOKYO    ,   JPTYO   ,        85         ,             73              ,            88             ,         89          ,    Port     ,   Japan Coast    ,  Japan Coast  ,          "[JAPAN]"        
139  ,   Japan   ,  YOKOHAMA   ,   JPYOK   ,        128        ,             204             ,            234            ,         113         ,    Port     ,   Japan Coast    ,  Japan Coast  ,    "[NEGISHI,  YKHAMA]"   
