id   ,  Country  ,    Port Name     ,  UN Code  ,  Vessels in Port  ,  Departures(Last 24 Hours)  ,  Arrivals(Last 24 Hours)  ,  Expected Arrivals  ,    Type     ,    Area Local    ,  Area Global  ,                 Also known as               
31   ,   Korea   ,     INCHEON      ,   KRINC   ,        391        ,             149             ,            204            ,         121         ,    Port     ,    Yellow Sea    ,  North China  ,                  "[INCHON]"                 
358  ,   Korea   ,      DAESAN      ,   KRTSN   ,        63         ,             69              ,            65             ,         49          ,    Port     ,    Yellow Sea    ,  North China  ,                  "[SEOSAN]"                 
226  ,   Korea   ,    GWANGYANG     ,   KRKAN   ,        89         ,             78              ,            80             ,         76          ,    Port     ,  East China Sea  ,  North China  ,             "[KWANGYANG,  KRKWA]"           
406  ,   Korea   ,  BUSAN NEW PORT  ,   KRBNP   ,        58         ,             88              ,            79             ,         18          ,    Port     ,   North China    ,  North China  ,  "[PUSAN NEWPORT,  PUSAN NEW PORT,  KR PNC]"
454  ,   Korea   ,    SAMCHEONPO    ,   KRSCP   ,        53         ,             29              ,            42             ,         15          ,    Port     ,   North China    ,  North China  ,                     null                    
475  ,   Korea   ,      ONSAN       ,   KRONS   ,        51         ,             121             ,            121            ,         26          ,    Port     ,   North China    ,  North China  ,                  "[KR USN]"                 
235  ,   Korea   ,      POHANG      ,   KRKPO   ,        87         ,             69              ,            70             ,         30          ,    Port     ,   North China    ,  North China  ,                 "[KR POHANG]"               
444  ,   Korea   ,    YEOSU ANCH    ,   null    ,        54         ,             121             ,            100            ,          7          ,  Anchorage  ,  East China Sea  ,  North China  ,                     null                    
47   ,   Korea   ,      YEOSU       ,   KRYOS   ,        284        ,             311             ,            353            ,         161         ,    Port     ,  East China Sea  ,  North China  ,                   "[YOSU]"                  
423  ,   Korea   ,     GOHYEON      ,   KRKHN   ,        56         ,             35              ,            36             ,          8          ,    Port     ,   North China    ,  North China  ,              "[GOHYUN,  GEOJE]"             
450  ,   Korea   ,    TONGYEONG     ,   KRTYG   ,        53         ,             82              ,            94             ,         57          ,    Port     ,   North China    ,  North China  ,                     null                    
174  ,   Korea   ,    PYEONGTAEK    ,   KRPTK   ,        109        ,             28              ,            30             ,         77          ,    Port     ,    Yellow Sea    ,  North China  ,     "[PYONGTAEK,  PYEONG TAEK,  DANGJIN]"   
27   ,   Korea   ,      BUSAN       ,   KRPUS   ,        438        ,             362             ,            351            ,         252         ,    Port     ,   North China    ,  North China  ,      "[PUSAN,  PUNSAN,  KR BUS,  BUZAN]"    
81   ,   Korea   ,      MOKPO       ,   KRMOK   ,        177        ,             102             ,            94             ,         51          ,    Port     ,    Yellow Sea    ,  North China  ,                     null                    
45   ,   Korea   ,      ULSAN       ,   KRUSN   ,        303        ,             298             ,            312            ,         142         ,    Port     ,   North China    ,  North China  ,                     null                    
