id   ,  Country  ,      Port Name      ,  UN Code  ,  Vessels in Port  ,  Departures(Last 24 Hours)  ,  Arrivals(Last 24 Hours)  ,  Expected Arrivals  ,    Type     ,     Area Local     ,    Area Global     ,                           Also known as                         
122  ,  Russia   ,      MURMANSK       ,   RUMMK   ,        143        ,             44              ,            52             ,         55          ,    Port     ,    Barents Sea     ,  North Coast CIS   ,                               null                              
220  ,  Russia   ,      ASTRAKHAN      ,   RUASF   ,        91         ,              3              ,            15             ,         24          ,    Port     ,    Caspian Sea     ,    Caspian Sea     ,                      "[ASTRAHAN,  ASTRAXAN]"                    
355  ,  Russia   ,    PETROPAVLOVSK    ,   RUPKC   ,        64         ,             15              ,            11             ,         10          ,    Port     ,     Bering Sea     ,    CIS Pacific     ,               "[KAMCHATSKY,  AVACHA,  KAMCHATSKIY]"             
70   ,  Russia   ,    ST PETERSBURG    ,   RULED   ,        201        ,             43              ,            41             ,         63          ,    Port     ,    Finland Gulf    ,  "Inland, Russia"  ,  "[SANKT PETERSBURG,  SAINT PETERSBURG,  SANKT PETERBURG,  SPB]"
192  ,  Russia   ,  KAVKAZ SOUTH ANCH  ,   null    ,        101        ,             48              ,            56             ,          6          ,  Anchorage  ,      Azov Sea      ,     Black Sea      ,                               null                              
92   ,  Russia   ,     VLADIVOSTOK     ,   RUVVO   ,        168        ,             55              ,            65             ,         79          ,    Port     ,    CIS Pacific     ,    CIS Pacific     ,                   "[VLDV,  ZALIV VOSTOK,  VVO]"                 
428  ,  Russia   ,      UST-LUGA       ,   RUULU   ,        55         ,             43              ,            42             ,         37          ,    Port     ,    Finland Gulf    ,     Baltic Sea     ,                      "[UST LUGA,  USTLUGA]"                     
414  ,  Russia   ,    ROSTOV-ON-DON    ,   RUROV   ,        57         ,             17              ,            28             ,         62          ,    Port     ,      Azov Sea      ,  "Inland, Russia"  ,                    "[ROSTOV ON DON,  ROSTOV]"                   
163  ,  Russia   ,    NOVOROSSIYSK     ,   RUNVS   ,        114        ,             56              ,            56             ,         45          ,    Port     ,     Black Sea      ,     Black Sea      ,           "[NOVO,  NOVOROSIYSK,  NOVOROSSYISK,  NVRSK]"         
430  ,  Russia   ,      NAKHODKA       ,   RUNJK   ,        55         ,             16              ,            23             ,         34          ,    Port     ,    CIS Pacific     ,    CIS Pacific     ,                            "[NAHODKA]"                          
342  ,  Russia   ,       MOSCOW        ,   RUMOW   ,        65         ,              8              ,             9             ,         10          ,    Port     ,  "Inland, Russia"  ,  "Inland, Russia"  ,                            "[MOSKVA]"                           
405  ,  Russia   ,     ARKHANGELSK     ,   RUARH   ,        58         ,              2              ,             1             ,         19          ,    Port     ,     White Sea      ,  North Coast CIS   ,                               null                              
