id   ,  Country  ,       Port Name       ,  UN Code  ,  Vessels in Port  ,  Departures(Last 24 Hours)  ,  Arrivals(Last 24 Hours)  ,  Expected Arrivals  ,    Type     ,     Area Local      ,     Area Global     ,                            Also known as                           
463  ,    USA    ,        KODIAK         ,   USADQ   ,        52         ,              5              ,             3             ,         18          ,    Port     ,   Gulf of Alaska    ,       Alaska        ,                             "[AFOGNAK]"                            
35   ,    USA    ,        HOUSTON        ,   USHOU   ,        369        ,             90              ,            103            ,         143         ,    Port     ,   Gulf of Mexico    ,   Gulf of Mexico    ,                             "[BAYTOWN]"                            
39   ,    USA    ,      NEW ORLEANS      ,   USMSY   ,        351        ,             70              ,            87             ,         86          ,    Port     ,   Gulf of Mexico    ,   Gulf of Mexico    ,           "[NEWORLEANS,  NOLA,  NEW ORLEAN,  GRAND ISLE]"          
452  ,    USA    ,        MOBILE         ,   USMOB   ,        53         ,             19              ,            22             ,         32          ,    Port     ,   Gulf of Mexico    ,   Gulf of Mexico    ,                                 null                               
467  ,    USA    ,      NEW BEDFORD      ,   USNBD   ,        52         ,              6              ,             5             ,          4          ,    Port     ,    US East Coast    ,    US East Coast    ,           "[NIEMIEC MARINE,  HOMERS WHARF,  WHALING CITY]"         
23   ,    USA    ,    FORT LAUDERDALE    ,   USFLL   ,        491        ,             21              ,            41             ,          5          ,    Port     ,    US East Coast    ,    US East Coast    ,            "[FT LAUDERDALE,  LAUDERDALE,  FTLAUDERDALE]"           
470  ,    USA    ,       AVENTURA        ,   USAVU   ,        52         ,              8              ,             9             ,          0          ,    Port     ,    US East Coast    ,    US East Coast    ,                                 null                               
36   ,    USA    ,       SAN DIEGO       ,   USSAN   ,        369        ,             53              ,            69             ,         25          ,    Port     ,    US West Coast    ,    US West Coast    ,  "[SANDIEGO,  MARINA CORTEZ,  HARBOR ISLAND WEST,  SUNROAD RESORT]"
38   ,    USA    ,       NEW YORK        ,   USNYC   ,        351        ,             150             ,            158            ,         97          ,    Port     ,    Hudson River     ,    US East Coast    ,               "[BAYONNE USA,  USNWK,  NEWARK,  USEWR]"             
477  ,    USA    ,    PORT EVERGLADES    ,   USPEF   ,        51         ,             23              ,            21             ,         22          ,    Port     ,    US East Coast    ,    US East Coast    ,                                 null                               
29   ,    USA    ,        SEATTLE        ,   USSEA   ,        407        ,             158             ,            170            ,         31          ,    Port     ,    US West Coast    ,    US West Coast    ,                                 null                               
447  ,    USA    ,     ALAMITOS BAY      ,   null    ,        54         ,             12              ,            26             ,          0          ,   Marina    ,    US West Coast    ,    US West Coast    ,   "[LONG BEACH YACHT,  ALAMITOS,  NAPLES ISLAND,  CERRITOS BAHIA]" 
362  ,    USA    ,      PORT ARTHUR      ,   USPOA   ,        63         ,             47              ,            49             ,         16          ,    Port     ,   Gulf of Mexico    ,   Gulf of Mexico    ,                                 null                               
72   ,    USA    ,         MIAMI         ,   USMIA   ,        200        ,             66              ,            65             ,         14          ,    Port     ,    US East Coast    ,    US East Coast    ,                                 null                               
249  ,    USA    ,       BALTIMORE       ,   USBAL   ,        84         ,             44              ,            45             ,         30          ,    Port     ,    US East Coast    ,    US East Coast    ,                                 null                               
252  ,    USA    ,     LAKE CHARLES      ,   USLCH   ,        83         ,             48              ,            48             ,         11          ,    Port     ,   Gulf of Mexico    ,   Gulf of Mexico    ,                                 null                               
221  ,    USA    ,        TACOMA         ,   USTIW   ,        91         ,             30              ,            39             ,         17          ,    Port     ,    US West Coast    ,    US West Coast    ,                                 null                               
270  ,    USA    ,      BELLINGHAM       ,   USBLI   ,        79         ,             29              ,            37             ,          5          ,    Port     ,  West Coast Canada  ,  West Coast Canada  ,                                 null                               
214  ,    USA    ,      PORTLAND OR      ,   USPDX   ,        92         ,             45              ,            64             ,         17          ,    Port     ,    US West Coast    ,    US West Coast    ,                        "[PORTLAND,  LINNTON]"                      
208  ,    USA    ,        BOSTON         ,   USBOS   ,        93         ,             67              ,            72             ,         11          ,    Port     ,    US East Coast    ,    US East Coast    ,                                 null                               
186  ,    USA    ,       SHILSHOLE       ,   null    ,        104        ,             31              ,            41             ,          0          ,    Port     ,    US West Coast    ,    US West Coast    ,                          "[SHILSHOLE BAY]"                         
182  ,    USA    ,       GALVESTON       ,   USGLS   ,        106        ,             123             ,            130            ,         24          ,    Port     ,   Gulf of Mexico    ,   Gulf of Mexico    ,                                 null                               
305  ,    USA    ,       HONOLULU        ,   USHNL   ,        71         ,             32              ,            33             ,         10          ,    Port     ,       Hawaii        ,    North Pacific    ,                                 null                               
306  ,    USA    ,        EVERETT        ,   USPAE   ,        71         ,             16              ,            25             ,          8          ,    Port     ,    US West Coast    ,    US West Coast    ,                                 null                               
312  ,    USA    ,      PORTLAND ME      ,   USPWM   ,        70         ,             38              ,            45             ,          2          ,    Port     ,    US East Coast    ,    US East Coast    ,                             "[PORTLAND]"                           
317  ,    USA    ,     HOUSTON ANCH      ,   null    ,        69         ,             45              ,            41             ,          0          ,  Anchorage  ,   Gulf of Mexico    ,   Gulf of Mexico    ,                                 null                               
333  ,    USA    ,        OAKLAND        ,   USOAK   ,        66         ,             36              ,            44             ,         19          ,    Port     ,    US West Coast    ,    US West Coast    ,                                 null                               
152  ,    USA    ,      LOS ANGELES      ,   USLAX   ,        119        ,             92              ,            105            ,         47          ,    Port     ,    US West Coast    ,    US West Coast    ,                      "[LOSANGELES,  SAN PEDRO]"                    
347  ,    USA    ,      GIG HARBOR       ,   USGGZ   ,        65         ,             15              ,            25             ,          0          ,   Marina    ,    US West Coast    ,    US West Coast    ,                 "[PENINSULA BASIN,  SEATTLE AT GIG]"               
339  ,    USA    ,    CHANNEL ISLANDS    ,   null    ,        66         ,             18              ,            24             ,          0          ,    Port     ,    US West Coast    ,    US West Coast    ,                                 null                               
363  ,    USA    ,        CHICAGO        ,   USCHI   ,        63         ,             21              ,            18             ,         10          ,    Port     ,    Lake Michigan    ,     Great Lakes     ,                                 null                               
80   ,    USA    ,       ANACORTES       ,   USOTS   ,        179        ,             75              ,            90             ,          6          ,    Port     ,  West Coast Canada  ,  West Coast Canada  ,                                 null                               
412  ,    USA    ,   WATERFORD HARBOR    ,   null    ,        58         ,             11              ,            17             ,          0          ,   Marina    ,   Gulf of Mexico    ,   Gulf of Mexico    ,            "[SOUTH TEXAS SERVICES,  WATERGATE YACHTING]"           
83   ,    USA    ,        NORFOLK        ,   USORF   ,        175        ,             28              ,            37             ,         40          ,    Port     ,    US East Coast    ,    US East Coast    ,                                 null                               
404  ,    USA    ,  MARINA PLAZA HARBOR  ,   null    ,        59         ,             22              ,            29             ,          0          ,   Marina    ,    US West Coast    ,    US West Coast    ,         "[ SAUSALITO YACHT ,  ISSAQUAH DOCK,  LIBERTY DOCK]"       
392  ,    USA    ,    CORPUS CHRISTI     ,   USCRP   ,        59         ,             33              ,            30             ,         41          ,    Port     ,   Gulf of Mexico    ,   Gulf of Mexico    ,                    "[C CHRISTI,  CORPUS CRISTI]"                   
99   ,    USA    ,       FOURCHON        ,   USFOC   ,        160        ,             58              ,            86             ,         68          ,    Port     ,   Gulf of Mexico    ,   Gulf of Mexico    ,                     "[PORT FOURCHON,  FOUCHON]"                    
245  ,    USA    ,      PALM BEACH       ,   USPAB   ,        85         ,             15              ,            16             ,          4          ,    Port     ,    US East Coast    ,    US East Coast    ,                                 null                               
381  ,    USA    ,     JACKSONVILLE      ,   USJAX   ,        61         ,             12              ,            13             ,         15          ,    Port     ,    US East Coast    ,    US East Coast    ,                                 null                               
115  ,    USA    ,    MARINA DEL REY     ,   USMDX   ,        146        ,             39              ,            57             ,          1          ,    Port     ,    US West Coast    ,    US West Coast    ,                                 null                               
121  ,    USA    ,        NEWPORT        ,   USNOZ   ,        144        ,             104             ,            104            ,          4          ,    Port     ,    US East Coast    ,    US East Coast    ,                            "[NEWPORT RI]"                          
130  ,    USA    ,     NEWPORT BEACH     ,   USJNP   ,        138        ,             29              ,            53             ,          1          ,    Port     ,    US West Coast    ,    US West Coast    ,                                 null                               
131  ,    USA    ,      CHARLESTON       ,   USCHS   ,        137        ,             29              ,            26             ,         26          ,    Port     ,    US East Coast    ,    US East Coast    ,                                 null                               
380  ,    USA    ,         TAMPA         ,   USTPA   ,        61         ,             23              ,            21             ,         17          ,    Port     ,   Gulf of Mexico    ,   Gulf of Mexico    ,                                 null                               
246  ,    USA    ,      LONG BEACH       ,   USLGB   ,        84         ,             133             ,            147            ,         62          ,    Port     ,    US West Coast    ,    US West Coast    ,                            "[LONGBEACH]"                           
