id   ,        Country         ,     Port Name      ,  UN Code  ,  Vessels in Port  ,  Departures(Last 24 Hours)  ,  Arrivals(Last 24 Hours)  ,  Expected Arrivals  ,    Type     ,   Area Local   ,  Area Global   ,                  Also known as                 
258  ,  United Arab Emirates  ,    SHARJAH ANCH    ,   null    ,        82         ,             59              ,            52             ,          2          ,  Anchorage  ,   Dubai Area   ,  Arabian Gulf  ,                       null                     
292  ,  United Arab Emirates  ,      SHARJAH       ,   AESHJ   ,        73         ,             41              ,            52             ,         17          ,    Port     ,  Persian Gulf  ,  Arabian Gulf  ,  "[MINA KHALID,  PORT KHALID,  KHALID,  AEMKH]"
311  ,  United Arab Emirates  ,       ZAKUM        ,   null    ,        70         ,             34              ,            35             ,         11          ,    Port     ,  Persian Gulf  ,  Arabian Gulf  ,         "[ZUKUM,  ZAKUM FIELD,  ZAKKUM]"       
171  ,  United Arab Emirates  ,      MUSAFFAH      ,   AEAMF   ,        111        ,             30              ,            20             ,         10          ,    Port     ,  Persian Gulf  ,  Arabian Gulf  ,   "[MUSAFAH,  MUSSAFAH,  MUSSAFFAH,  ESNAAD]"  
164  ,  United Arab Emirates  ,      FUJAIRAH      ,   AEFJR   ,        113        ,             127             ,            129            ,         200         ,    Port     ,   Oman Gulf    ,  Arabian Gulf  ,            "[AL FUJAIRAH,  FUJAIRA]"           
354  ,  United Arab Emirates  ,      HAMRIYA       ,   AEHAM   ,        64         ,              8              ,             6             ,         14          ,    Port     ,  Persian Gulf  ,  Arabian Gulf  ,                  "[AL HAMRIYA]"                
356  ,  United Arab Emirates  ,  KHOR FAKKAN ANCH  ,   null    ,        64         ,             62              ,            55             ,          2          ,  Anchorage  ,   Oman Gulf    ,  Arabian Gulf  ,                       null                     
125  ,  United Arab Emirates  ,   FUJAIRAH ANCH    ,   null    ,        140        ,             166             ,            157            ,          4          ,  Anchorage  ,   Oman Gulf    ,  Arabian Gulf  ,                       null                     
313  ,  United Arab Emirates  ,     JEBEL ALI      ,   AEJEA   ,        69         ,             64              ,            60             ,         75          ,    Port     ,  Persian Gulf  ,  Arabian Gulf  ,       "[JEBELALI,  JEBAL ALI,  JABAL ALI]"     
59   ,  United Arab Emirates  ,       DUBAI        ,   AEDXB   ,        247        ,             35              ,            56             ,         25          ,    Port     ,   Dubai Area   ,  Arabian Gulf  ,        "[PORTRASHID,  PORT RASHID,  DMC]"      
